keys,en,ru,zh_CN
TR_WS_WIGGLE_AMP,Wiggle-Amp,Амплитуда покачивания,摆动幅度
TR_WS_WIGGLE_FREQUENCY,Wiggle-Freq,Частота покачивания,摆动频率
TR_XY_MOVEMENTS,X-Y Movements,Движения по X-Y,X-Y 运动
TR_XY_MOVEMENTS_X_AMP,X-Amp,Амплитуда X,X-幅度
TR_XY_MOVEMENTS_X_FREQUENCY,X-Freq,Частота X,X-频率
TR_XY_MOVEMENTS_Y_AMP,Y-Amp,Амплитуда Y,Y-幅度
TR_XY_MOVEMENTS_Y_FREQUENCY,Y-Freq,Частота Y,Y-频率
TR_X_AMPLITUDE_WOBBLE,X-Amplitude Wobble {value},Амплитуда колебаний по X {value},X-幅度 摇晃 {value}
TR_X_FREQUENCY_WOBBLE,X-Frequency Wobble {value},Частота колебаний по X {value},X-频率 摇晃 {value}
TR_X_FREQUENCY_WOBBLE_TOOLTIP,Affects the Wobbling,Влияет на покачивание,影响摇晃
TR_X_OFFSET,X-Offset,Смещение X,原点偏移 X
TR_YES,Yes,Да,是
TR_Y_AMPLITUDE_WOBBLE,Y-Amplitude Wobble {value},Амплитуда колебаний по Y {value},Y-幅度 摇晃 {value}
TR_Y_FREQUENCY_WOBBLE,Y-Frequency Wobble {value},Частота колебаний по Y {value},Y-频率 摇晃 {value}
TR_Y_OFFSET,Y-Offset,Смещение Y,原点偏移 Y
TR_Z_ORDER,Z Order,Порядок по Z,Z 图层排序
Wiggle,Wiggle,Покачивание,摆动
Window,Window,Окно,窗口
EXPORT_SPRITES,Export Sprite(s),Экспортировать спрайты,导出精灵
TR_PHYS_EFF,Physics Effect,Physics Effect,物理效果
TR_DISTANCE,Distance,Расстояние,距离
TR_DEGREE,Degree,Градус,度数
TR_THROW_FORCE,Throw Force,Сила броска,投掷力度
TR_HOTKEY_NAME_COLUMN,Action,Действие,热键名称
TR_HOTKEY_COLUMN,Hotkey,Горячая клавиша,热键绑定
TR_MIN_DURATION,Minimal Duration,Мин. длительность,最短显示时间
TR_MIN_DURATION_TOOLTIP,Sprite will be showed at least minimal duration to avoid disappearance.,"Спрайт будет показываться минимум указанное время, чтобы избежать исчезновения",精灵将至少持续的显示时间，以避免消失。
TR_CAST_TIME,Cast Time,Время приведения,按键施法时间
TR_CAST_TIME_TOOLTIP,Sprite will be showed when hotkey is continuously pressed for more than the cast time,Спрайт появится только при непрерывном удержании горячей клавиши дольше времени приведения,在持续按下热键直到超过施法时间时，精灵才会显示
TR_INCLUSIVE_KEY_CHECK,Inclusive Key Check,Совместная проверка клавиш,包容性按键检测
TR_INCLUSIVE_KEY_CHECK_TOOLTIP,"Modifier keys not included will be ignored (for example, Ctrl+1 will also trigger when Shift+Ctrl+1 is pressed), and the order of keys will be ignored","Модификаторы, не входящие в комбинацию, игнорируются (например, Ctrl+1 сработает и при Shift+Ctrl+1), порядок нажатия клавиш не важен",未包含其中的修饰键会被忽略（例如：Ctrl+1，在按下Shift+Ctrl+1时，也会触发），同时忽略按键的先后顺序
TR_IGNORE_IF_REST,Ignore If Rest,Игнорировать в покое,休眠时忽略按键
TR_IGNORE_IF_REST_TOOLTIP,"If this sprite or its parent is rest, asset key input will be ignored","Если спрайт или его родитель находится в покое, ввод клавиш ресурса игнорируется",如果精灵处于休眠状态，会忽略资源按键的输入。
TR_AUTO_SHOW,Auto show,Автопоказ,自动显示
TR_AUTO_SHOW_TOOLTIP,Auto show when parent is show(or leaving rest),"Автопоказ, когда родитель видим (или выходит из состояния покоя)",在脱离休眠时自动显示
TR_CYCLE_DELETE_TIP,"After deleting, the subsequent cycle numbers will be shifted forward to compensate.\n (Example: If Cycle 1 is deleted, the original Cycle 2 will be shifted to become Cycle 1)","После удаления номера последующих циклов сдвигаются вперёд\n (пример: если Cycle 1 удалён, бывший Cycle 2 становится Cycle 1)","删除循环后，排在后面的循环编号会向前补齐\n(例：删除Cycle 1, 原来的Cycle 2会补齐为Cycle 1)"
TR_BLEND_MASKING,Masking,Masking,蒙版(透明度)
TR_BLEND_TOOLTIP,"Blend mode is developing. \n - Multiply will also apply to both(this and background layer) transparency, which taking a layer mask effect \n - Burn, Hardmix, Cursed mode is unfinished","Blend mode is developing. \n - Multiply will also apply to both(this and background layer) transparency, which taking a layer mask effect \n - Burn, Hardmix, Cursed mode is unfinished",混合模式正在开发中。\n - 正片叠底也将应用于（此层和背景层）透明度，产生蒙版效果\n - 加深、实色混合、排除未完成
TR_IGNORE_BOUNCE_TOOLTIP,"Passive motion simulations (e.g. dragging, rotating, squeezing) will ignore bounce effects.\nFollow motion will still work normally.","Passive motion simulations (e.g. dragging, rotating, squeezing) will ignore bounce effects.\nFollow motion will still work normally.",被动的运动效果（如拖动、旋转、挤压）的模拟会忽略弹跳的影响。\n跟随运动仍会正常生效。
TR_MOUSE_VELOCITY_TOOLTIP,Mouse follow motion is based on the mouse velocity instead of its current position.,Mouse follow motion is based on the mouse velocity instead of its current position.,鼠标的运动跟随效果会依据鼠标的速度，而非鼠标当前位置
TR_PHYSICS_TOOLTIP,"When enabled, motion is also affected by the parent's motion.\nWhen physics is off and this node has no parent (i.e. it is the root of all motion), bounce motion will be ignored.","When enabled, motion is also affected by the parent's motion.\nWhen physics is off and this node has no parent (i.e. it is the root of all motion), bounce motion will be ignored.",启用时，运动也会受父节点的运动影响。\n关闭物理时，如果本节点没有父节点（也就是所有运动的起始节点），则会忽视弹跳运动。
TR_REST_MOVE_AND_RESET,Rest Move And Reset,Rest Move And Reset,休眠运动并重置
TR_SKEW_X,Skew-X,Skew-X,斜切-X
TR_SKEW_Y,Skew-Y,Skew-Y,斜切-Y
TR_FILE_OPEN,Open,Open,打开
TR_REDO,Redo,Redo,重做
TR_UNDO,Undo,Undo,撤销
TR_GRID,Grid,Grid,网格
TR_SHOW_GRID,Show Grid,Show Grid,显示网格
TR_SNAP_POSITION,Snap Position,Snap Position,吸附位置
TR_SNAP_SIZE,Snap Size,Snap Size,吸附间距
TR_SNAP_SIZE_TITLE,Grid Snap Size,Grid Snap Size,网格吸附间距
TR_SNAP_SIZE_INFO,Snap distance (0.1 to 100 pixels):,Snap distance (0.1 to 100 pixels):,吸附距离 (0.1 ~ 100 像素)
TR_ALWAYS_ACTIVE,Always Active,Always Active,始终激活
TR_DISABLE_BOTH,Disable Both,Disable Both,禁用两者
TR_EDIT_WINDOWS,Edit Windows,Edit Windows,解锁窗口尺寸
TR_USE_SCREEN_EDGE_RANGE,Use Screen Edge as Range,Use Screen Edge as Range,以屏幕边缘为跟随范围
TR_USE_SCREEN_EDGE_RANGE_TOOLTIP,"Off (default): the Range X/Y sliders define how far the mouse must be from the screen centre to reach min/max, so min/max can be hit before the mouse reaches the screen edge.\nOn: min/max is only reached when the mouse touches the screen edge.","Off (default): the Range X/Y sliders define how far the mouse must be from the screen centre to reach min/max, so min/max can be hit before the mouse reaches the screen edge.\nOn: min/max is only reached when the mouse touches the screen edge.",关闭（默认）：鼠标离屏幕中心多远才达到最大/最小值由「范围 X/Y」滑条决定，因此鼠标还没到屏幕边缘就可能已经到达最大/最小值。\n开启：鼠标移动到屏幕边缘时才达到最大/最小值。
TR_INVERT_TOOLTIP,The effect of following movement will be reversed.,The effect of following the movement will be reversed.,跟随运动的效果会反转
TR_WORLD_AXIS_MOVEMENT,World Axis Movement,World Axis Movement,世界轴运动
TR_WORLD_AXIS_MOVEMENT_TOOLTIP,Move the wobble/drag offset along world axes so the sprite's own rotation does not steer it.,Move the wobble/drag offset along world axes so the sprite's own rotation does not steer it.,位移沿世界坐标轴施加，不受精灵自身旋转影响。
